pregunta,correcta,p_mas,area,nivel,tema
1,E,41,mecanica,ALTO,
2,E,70,mecanica,BASE,
3,B,64,electromagnetismo,BASE,
4,E,30,electromagnetismo,ALTO,
5,B,47,electromagnetismo,ALTO,
6,C,59,otros,BASE,
7,B,64,otros,BASE,
8,D,59,moderna_cuantica,BASE,
9,C,41,moderna_cuantica,ALTO,
10,E,79,moderna_cuantica,BASE,
11,D,77,moderna_cuantica,BASE,
12,A,76,otros,BASE,
13,C,48,otros,ALTO,
14,D,74,mecanica,BASE,
15,C,34,mecanica,ALTO,
16,C,70,mecanica,BASE,
17,D,60,electromagnetismo,BASE,
18,E,43,electromagnetismo,ALTO,
19,A,49,moderna_cuantica,ALTO,
20,B,50,moderna_cuantica,BASE,
21,C,31,moderna_cuantica,ALTO,
22,B,51,moderna_cuantica,BASE,
23,E,66,moderna_cuantica,BASE,
24,C,47,otros,ALTO,
25,D,63,otros,BASE,
26,E,32,otros,ALTO,
27,E,32,otros,ALTO,
28,A,39,otros,ALTO,
29,D,53,otros,BASE,
30,D,56,otros,BASE,
31,D,52,electromagnetismo,BASE,
32,E,24,electromagnetismo,ALTO,
33,C,86,electromagnetismo,BASE,
34,A,23,electromagnetismo,ALTO,
35,E,28,otros,ALTO,
36,D,44,otros,ALTO,
37,A,85,moderna_cuantica,BASE,
38,A,37,moderna_cuantica,ALTO,
39,A,76,mecanica,BASE,
40,A,53,mecanica,BASE,
41,B,52,mecanica,BASE,
42,B,33,otros,ALTO,
43,B,29,otros,ALTO,
44,B,56,otros,BASE,
45,B,45,otros,ALTO,
46,B,64,otros,BASE,
47,D,46,otros,ALTO,
48,C,20,moderna_cuantica,ALTO,
49,D,36,moderna_cuantica,ALTO,
50,A,63,moderna_cuantica,BASE,
51,D,43,mecanica,ALTO,
52,E,77,mecanica,BASE,
53,D,52,electromagnetismo,BASE,
54,D,43,moderna_cuantica,ALTO,
55,E,32,moderna_cuantica,ALTO,
56,C,49,otros,ALTO,
57,E,74,otros,BASE,
58,A,53,otros,BASE,
59,E,74,electromagnetismo,BASE,
60,C,43,electromagnetismo,ALTO,
61,B,41,electromagnetismo,ALTO,
62,C,54,mecanica,BASE,
63,D,59,otros,BASE,
64,C,55,otros,BASE,
65,A,38,otros,ALTO,
66,E,50,otros,BASE,
67,B,44,mecanica,ALTO,
68,B,47,mecanica,ALTO,
69,A,70,mecanica,BASE,
70,E,25,otros,ALTO,
