fecha,skill,nivel
2026-08-15,Q1,3
2026-08-15,Q2,3
2026-08-15,Q3,3
2026-08-15,Q4,4
2026-08-15,Q5,2
2026-08-15,Q6,2
2026-08-15,Q7,0
2026-08-15,Q8,0
2026-08-15,Q10,0
2026-08-15,Q12,0
2026-08-15,Q13,2
2026-08-15,Q14,2
2026-08-15,Q15,1
2026-08-15,Q9,1
2026-08-15,Q11,2
2026-08-15,Q22,0
2026-08-15,Q16,1
2026-08-15,Q17,0
2026-08-15,Q18,2
2026-08-15,Q19,0
2026-08-15,Q20,0
2026-08-15,Q21,0
2026-08-15,Q23,0
2026-08-15,Q24,0
2026-08-25,Q1,4
2026-08-25,Q2,4
2026-08-25,Q3,4
2026-08-25,Q4,4
2026-08-25,Q5,0
