fecha,semana,area,tipo,minutos,version,energia,claridad,notas
2026-08-14,0,mecanica,simulacro,45,minima,3,2,Diagnostico D1
2026-08-17,0,mecanica,teoria,60,minima,3,3,"Reconstruida desde la nota ""17/08"" de la libreta. Duracion estimada (~1 h: semanas con poco tiempo, segun Sebastian). Energia y claridad sin dato."
2026-08-23,0,mecanica,problemas,60,minima,3,3,"Reconstruida desde la nota ""23/08"" de la libreta. Duracion estimada (~1 h: semanas con poco tiempo, segun Sebastian). Energia y claridad sin dato."
2026-08-24,1,mecanica,teoria,60,minima,3,3,"Reconstruida desde la nota ""24/08"" de la libreta. Duracion estimada (~1 h: semanas con poco tiempo, segun Sebastian). Energia y claridad sin dato."
2026-08-25,1,mecanica,problemas,90,minima,5,4,"en realidad son varias sesiones, de la semana s0, estudie, el lunes, martes, miercoles no, sabado y domingo, ahí hice lecturas de REA, estuve tiempo en la app, y estuve revisando los problemas de el simulacro diagnostico el de 12 preguntas, esta semana 1, empece a resolverlos sin cronometro, solo por memoria, y revisando los patrones de descarte, por unidades, y evaluando los casos limites. hoy llegue a la pregunta 8-12 del D1, e hice la hoja de diagnostico 25_08.pdf para repasar. recordar bien en que consiste la teoria, requiere este repaso que estoy haciendo."
2026-08-29,1,mecanica,problemas,60,minima,3,3,"Reconstruida desde la nota ""29/08"" de la libreta. Duracion estimada (~1 h: semanas con poco tiempo, segun Sebastian). Energia y claridad sin dato."
2026-08-31,2,mecanica,teoria,60,minima,3,3,"Reconstruida desde la nota ""31/08"" de la libreta. Duracion estimada (~1 h: semanas con poco tiempo, segun Sebastian). Energia y claridad sin dato."
2026-09-07,3,mecanica,teoria,120,extendida,4,5,"Lo que mas me esta costando es buscar los espacios para estudrugue a las 5 am para poder estudiar, y ahora voy a trabajar, necesito aun animo y motivacíon para levantarme, pero se que la encontrare."
2026-09-08,3,mecanica,teoria,92,extendida,5,5,"me esta ayudando madrugar, nuevamente logre una buena sesion, me esta costando interpretar los problemas, son mas sencillos d elo que parece, estoy usando cosas innecesarias aveces."
2026-09-09,3,mecanica,teoria,60,minima,3,4,"Momento de inercia: lista completa (anillo eje y diametro, disco eje y diametro, barra centro y extremo, esfera solida 2/5MR2), derivados por integracion. DURACION ESTIMADA por Claude desde la libreta, corregir si no cuadra."
2026-09-10,3,mecanica,teoria,90,extendida,3,4,"Tensor de inercia I_ij = int rho(r2 delta_ij - x_i x_j) dV. Teorema de Steiner generalizado derivado desde primeros principios, de ahi los dos teoremas (momentos y productos). Ejercicio completo: lamina triangular, tensor en el origen y trasladado al CM. DURACION ESTIMADA por Claude desde la libreta, corregir si no cuadra."
